"day","date","orangeAverage","purpleAverage","greenAverage","bannerAverage","daily"
"Monday","04/18/2011",2765.5,3884,NA,NA,6649.5
"Tuesday","04/19/2011",2908,3947.5,NA,NA,6855.5
"Wednesday","04/20/2011",3200.5,4441,NA,NA,7641.5
"Thursday","04/21/2011",3020,3744.5,NA,NA,6764.5
"Friday","04/22/2011",3375.5,4694.5,NA,NA,8070
"Saturday","04/23/2011",2804.5,3546.5,NA,NA,6351
"Sunday","04/24/2011",NA,NA,NA,NA,0
"Monday","04/25/2011",3137.5,3877.5,NA,NA,7015
"Tuesday","04/26/2011",3294.5,4043,NA,NA,7337.5
"Wednesday","04/27/2011",3265,4026,NA,NA,7291
"Thursday","04/28/2011",3013,4475.5,NA,NA,7488.5
"Friday","04/29/2011",3326.5,5364.5,NA,NA,8691
"Saturday","04/30/2011",2859,3914,NA,NA,6773
"Sunday","05/01/2011",1552,2234.5,NA,NA,3786.5
"Monday","05/02/2011",2967.5,4382.5,NA,NA,7350
"Tuesday","05/03/2011",3155,4636,NA,NA,7791
"Wednesday","05/04/2011",2643.5,4220.5,NA,NA,6864
"Thursday","05/05/2011",3450,4639,NA,NA,8089
"Friday","05/06/2011",3698.5,4641,NA,NA,8339.5
"Saturday","05/07/2011",3028,3940,NA,NA,6968
"Sunday","05/08/2011",1527,2184.5,NA,NA,3711.5
"Monday","05/09/2011",2914,4219.5,NA,NA,7133.5
"Tuesday","05/10/2011",3283.5,4142.5,NA,NA,7426
"Wednesday","05/11/2011",3389,4811.5,NA,NA,8200.5
"Thursday","05/12/2011",3336,4587,NA,NA,7923
"Friday","05/13/2011",3630.5,4956.5,NA,NA,8587
"Saturday","05/14/2011",2439.5,3456,NA,NA,5895.5
"Sunday","05/15/2011",2098.5,2836,NA,NA,4934.5
"Monday","05/16/2011",3449.5,4896,NA,NA,8345.5
"Tuesday","05/17/2011",3150,4626.5,NA,NA,7776.5
"Wednesday","05/18/2011",3303.5,4679,NA,NA,7982.5
"Thursday","05/19/2011",3470,4802.5,NA,NA,8272.5
"Friday","05/20/2011",3864.5,5483,NA,NA,9347.5
"Saturday","05/21/2011",2992.5,4014,NA,NA,7006.5
"Sunday","05/22/2011",2032.5,2751,NA,NA,4783.5
"Monday","05/23/2011",3356,4961.5,NA,NA,8317.5
"Tuesday","05/24/2011",3422,5018,NA,NA,8440
"Wednesday","05/25/2011",3538.5,5205.5,NA,NA,8744
"Thursday","05/26/2011",3402.5,5008,NA,NA,8410.5
"Friday","05/27/2011",3862.5,5833.5,NA,NA,9696
"Saturday","05/28/2011",3347.5,3973,NA,NA,7320.5
"Sunday","05/29/2011",2837.5,3065,NA,NA,5902.5
"Monday","05/30/2011",2704,3016.5,NA,NA,5720.5
"Tuesday","05/31/2011",3138.5,4598,NA,NA,7736.5
"Wednesday","06/01/2011",3287.5,5049.5,NA,NA,8337
"Thursday","06/02/2011",3275,5071.5,NA,NA,8346.5
"Friday","06/03/2011",3917.5,5229,NA,NA,9146.5
"Saturday","06/04/2011",3046,3629,NA,NA,6675
"Sunday","06/05/2011",2028.5,2842.5,NA,NA,4871
"Monday","06/06/2011",3359.5,4530,NA,NA,7889.5
"Tuesday","06/07/2011",3513,4703,NA,NA,8216
"Wednesday","06/08/2011",3567.5,4442,NA,NA,8009.5
"Thursday","06/09/2011",3107,4766.5,NA,NA,7873.5
"Friday","06/10/2011",3819,5393.5,NA,NA,9212.5
"Saturday","06/11/2011",3247,3745,NA,NA,6992
"Sunday","06/12/2011",2026.5,2563.5,NA,NA,4590
"Monday","06/13/2011",3685,4528,NA,NA,8213
"Tuesday","06/14/2011",3413.5,4475.5,NA,NA,7889
"Wednesday","06/15/2011",3800.5,4507.5,NA,NA,8308
"Thursday","06/16/2011",3410,4441.5,NA,NA,7851.5
"Friday","06/17/2011",4220,5464.5,NA,NA,9684.5
"Saturday","06/18/2011",1603.5,1204,NA,NA,2807.5
"Sunday","06/19/2011",2092,2572.5,NA,NA,4664.5
"Monday","06/20/2011",3419,4159,NA,NA,7578
"Tuesday","06/21/2011",3609.5,4530,NA,NA,8139.5
"Wednesday","06/22/2011",4139.5,4851.5,NA,NA,8991
"Thursday","06/23/2011",3733,4665,NA,NA,8398
"Friday","06/24/2011",4485,5329,NA,NA,9814
"Saturday","06/25/2011",3779.5,4316.5,NA,NA,8096
"Sunday","06/26/2011",2923,2801.5,NA,NA,5724.5
"Monday","06/27/2011",3572.5,4495,NA,NA,8067.5
"Tuesday","06/28/2011",4138,4875.5,NA,NA,9013.5
"Wednesday","06/29/2011",4121,4948,NA,NA,9069
"Thursday","06/30/2011",4010.5,4660,NA,NA,8670.5
"Friday","07/01/2011",4453.5,5354,NA,NA,9807.5
"Saturday","07/02/2011",3859.5,4111,NA,NA,7970.5
"Sunday","07/03/2011",2451,3206.5,NA,NA,5657.5
"Monday","07/04/2011",3157.5,3942,NA,NA,7099.5
"Tuesday","07/05/2011",3559.5,4650.5,NA,NA,8210
"Wednesday","07/06/2011",3781,4828,NA,NA,8609
"Thursday","07/07/2011",3485.5,4882.5,NA,NA,8368
"Friday","07/08/2011",4012,5315,NA,NA,9327
"Saturday","07/09/2011",3283,4295.5,NA,NA,7578.5
"Sunday","07/10/2011",2011,3001.5,NA,NA,5012.5
"Monday","07/11/2011",3655,4342,NA,NA,7997
"Tuesday","07/12/2011",3865,4268,NA,NA,8133
"Wednesday","07/13/2011",3681,4349,NA,NA,8030
"Thursday","07/14/2011",4156.5,4624.5,NA,NA,8781
"Friday","07/15/2011",4705,6293,NA,NA,10998
"Saturday","07/16/2011",4624,7622,NA,NA,12246
"Sunday","07/17/2011",2830,5130.5,NA,NA,7960.5
"Monday","07/18/2011",4200.5,5079.5,NA,NA,9280
"Tuesday","07/19/2011",4340,5159.5,NA,NA,9499.5
"Wednesday","07/20/2011",4363,5125,NA,NA,9488
"Thursday","07/21/2011",4151,4845,NA,NA,8996
"Friday","07/22/2011",4459.5,5176.5,NA,NA,9636
"Saturday","07/23/2011",3453,4117,NA,NA,7570
"Sunday","07/24/2011",2310,3368,NA,NA,5678
"Monday","07/25/2011",3136,4388,NA,NA,7524
"Tuesday","07/26/2011",3886,5008,NA,NA,8894
"Wednesday","07/27/2011",3997.5,4813,NA,NA,8810.5
"Thursday","07/28/2011",4051,5374,NA,NA,9425
"Friday","07/29/2011",4490.5,5522.5,NA,NA,10013
"Saturday","07/30/2011",3670,5132,NA,NA,8802
"Sunday","07/31/2011",2657,3580,NA,NA,6237
"Monday","08/01/2011",3379,4782.5,NA,NA,8161.5
"Tuesday","08/02/2011",4063,4765,NA,NA,8828
"Wednesday","08/03/2011",3829.5,4766.5,NA,NA,8596
"Thursday","08/04/2011",3716.5,4964,NA,NA,8680.5
"Friday","08/05/2011",4949,5982.5,NA,NA,10931.5
"Saturday","08/06/2011",3469.5,4062,NA,NA,7531.5
"Sunday","08/07/2011",2355,2965,NA,NA,5320
"Monday","08/08/2011",3868,5227.5,NA,NA,9095.5
"Tuesday","08/09/2011",3838.5,4944,NA,NA,8782.5
"Wednesday","08/10/2011",4260.5,5075,NA,NA,9335.5
"Thursday","08/11/2011",3765.5,5000,NA,NA,8765.5
"Friday","08/12/2011",4605,5710,NA,NA,10315
"Saturday","08/13/2011",3176.5,3662.5,NA,NA,6839
"Sunday","08/14/2011",2061.5,2616.5,NA,NA,4678
"Monday","08/15/2011",3232,4431,NA,NA,7663
"Tuesday","08/16/2011",3913.5,5219,NA,NA,9132.5
"Wednesday","08/17/2011",3807,5007,NA,NA,8814
"Thursday","08/18/2011",3690,4969,NA,NA,8659
"Friday","08/19/2011",4577,5910,NA,NA,10487
"Saturday","08/20/2011",3754,4482.5,NA,NA,8236.5
"Sunday","08/21/2011",1630.5,2599,NA,NA,4229.5
"Monday","08/22/2011",4108,5329.5,NA,NA,9437.5
"Tuesday","08/23/2011",3825,4997.5,NA,NA,8822.5
"Wednesday","08/24/2011",3985.5,5194,NA,NA,9179.5
"Thursday","08/25/2011",3809,5072,NA,NA,8881
"Friday","08/26/2011",5028,6173.5,NA,NA,11201.5
"Saturday","08/27/2011",1389.5,1562.5,NA,NA,2952
"Sunday","08/28/2011",1321,1910,NA,NA,3231
"Monday","08/29/2011",4166,5329,NA,NA,9495
"Tuesday","08/30/2011",4161,5118,NA,NA,9279
"Wednesday","08/31/2011",4067,5222.5,NA,NA,9289.5
"Thursday","09/01/2011",2879,2981,NA,NA,7005.5
"Friday","09/02/2011",2724,3838.5,NA,NA,7223
"Saturday","09/03/2011",2655,3837,NA,NA,7304
"Sunday","09/04/2011",1955,3261,NA,NA,6036.5
"Monday","09/05/2011",1868.5,2478,NA,NA,4346.5
"Tuesday","09/06/2011",2948.5,4550.5,NA,NA,7499
"Wednesday","09/07/2011",3183,4531.5,NA,NA,7714.5
"Thursday","09/08/2011",3400.5,4762.5,NA,NA,8163
"Friday","09/09/2011",4099,6002.5,NA,NA,10101.5
"Saturday","09/10/2011",2970,4204,NA,NA,7174
"Sunday","09/11/2011",2009.5,2846.5,NA,NA,4856
"Monday","09/12/2011",3922.5,5288.5,NA,NA,9211
"Tuesday","09/13/2011",4060.5,5035,NA,NA,9095.5
"Wednesday","09/14/2011",3995,5596.5,NA,NA,9591.5
"Thursday","09/15/2011",3781.5,5156.5,NA,NA,8938
"Friday","09/16/2011",4558.5,6249,NA,NA,10807.5
"Saturday","09/17/2011",3013.5,4793,NA,NA,7806.5
"Sunday","09/18/2011",2252,3288,NA,NA,5540
"Monday","09/19/2011",3857,5207,NA,NA,9064
"Tuesday","09/20/2011",3772.5,5399,NA,NA,9171.5
"Wednesday","09/21/2011",4023.5,5385.5,NA,NA,9409
"Thursday","09/22/2011",3992.5,5300,NA,NA,9292.5
"Friday","09/23/2011",3508,4777.5,NA,NA,8285.5
"Saturday","09/24/2011",3490.5,4501.5,NA,NA,7992
"Sunday","09/25/2011",2341,3180.5,NA,NA,5521.5
"Monday","09/26/2011",4393.5,5611,NA,NA,10004.5
"Tuesday","09/27/2011",4087,5537.5,NA,NA,9624.5
"Wednesday","09/28/2011",4199.5,5425.5,NA,NA,9625
"Thursday","09/29/2011",4075,5426,NA,NA,9501
"Friday","09/30/2011",4464,6444,NA,NA,10908
"Saturday","10/01/2011",4079,4763,NA,NA,8842
"Sunday","10/02/2011",2764.5,3443,NA,NA,6207.5
"Monday","10/03/2011",4258.5,5479,NA,NA,9737.5
"Tuesday","10/04/2011",3600.5,5335.5,NA,NA,8936
"Wednesday","10/05/2011",4199,5771,NA,NA,9970
"Thursday","10/06/2011",4007.5,5633.5,NA,NA,9641
"Friday","10/07/2011",4382,6747,NA,NA,11129
"Saturday","10/08/2011",3485,4827.5,NA,NA,8312.5
"Sunday","10/09/2011",2087,3323.5,NA,NA,5410.5
"Monday","10/10/2011",3571,4441,NA,NA,8012
"Tuesday","10/11/2011",4226,5368,NA,NA,9594
"Wednesday","10/12/2011",3654.5,5142.5,NA,NA,8797
"Thursday","10/13/2011",3515.5,4953.5,NA,NA,8469
"Friday","10/14/2011",4389,5642.5,NA,NA,10031.5
"Saturday","10/15/2011",2436.5,3713.5,NA,NA,6150
"Sunday","10/16/2011",2312,3474,NA,NA,5786
"Monday","10/17/2011",3981.5,5356,NA,NA,9337.5
"Tuesday","10/18/2011",3904,5551,NA,NA,9455
"Wednesday","10/19/2011",3065.5,3137.5,NA,NA,6203
"Thursday","10/20/2011",2811.5,2024.5,NA,NA,4836
"Friday","10/21/2011",4622.5,6059.5,NA,NA,10682
"Saturday","10/22/2011",3363,4437,NA,NA,7800
"Sunday","10/23/2011",2080,2892,NA,NA,4972
"Monday","10/24/2011",3815,5464,NA,NA,9279
"Tuesday","10/25/2011",4109,5601.5,NA,NA,9710.5
"Wednesday","10/26/2011",3876,5317,NA,NA,9193
"Thursday","10/27/2011",3888,5275.5,NA,NA,9163.5
"Friday","10/28/2011",4736,6140,NA,NA,10876
"Saturday","10/29/2011",2423,3046,NA,NA,5469
"Sunday","10/30/2011",2196,2941,NA,NA,5137
"Monday","10/31/2011",4178.5,5496.5,NA,NA,9675
"Tuesday","11/01/2011",3962,3999,912,NA,8873
"Wednesday","11/02/2011",3816.5,5465.5,1086.5,NA,10368.5
"Thursday","11/03/2011",3906,5576.5,1170,NA,10652.5
"Friday","11/04/2011",4546.5,6067,1384.5,NA,11998
"Saturday","11/05/2011",3578.5,4281,780.5,NA,8640
"Sunday","11/06/2011",2096.5,3340.5,668,NA,6105
"Monday","11/07/2011",4000,5200,1302,NA,10502
"Tuesday","11/08/2011",4288,4800,1366.5,NA,10454.5
"Wednesday","11/09/2011",3979.5,5403.5,1292.5,NA,10675.5
"Thursday","11/10/2011",3718.5,5021.5,1191,NA,9931
"Friday","11/11/2011",4391,5964,1563,NA,11918
"Saturday","11/12/2011",3663,4399.5,1066,NA,9128.5
"Sunday","11/13/2011",2173,754.5,2902,NA,5829.5
"Monday","11/14/2011",3435.5,4205,1362,NA,9002.5
"Tuesday","11/15/2011",3724,1240,5094,NA,10058
"Wednesday","11/16/2011",3618.5,5106.5,1396.5,NA,10121.5
"Thursday","11/17/2011",4037,5256,1482,NA,10775
"Friday","11/18/2011",4697.5,5742,1594,NA,12033.5
"Saturday","11/19/2011",3486.5,4312.5,1163,NA,8962
"Sunday","11/20/2011",2152.5,2921,780.5,NA,5854
"Monday","11/21/2011",3591.5,4901,1364.5,NA,9857
"Tuesday","11/22/2011",3391.5,4494,1244.5,NA,9130
"Wednesday","11/23/2011",4061,4892.5,1336,NA,10289.5
"Thursday","11/24/2011",525.5,581,173.5,NA,1280
"Friday","11/25/2011",3680,3888,1192.5,NA,8760.5
"Saturday","11/26/2011",3028.5,3458,968.5,NA,7455
"Sunday","11/27/2011",2182,2440.5,803,NA,5425.5
"Monday","11/28/2011",3822.5,4451.5,1459.5,NA,9733.5
"Tuesday","11/29/2011",3347.5,4625.5,1314,NA,9287
"Wednesday","11/30/2011",3832,5053,1672,NA,10557
"Thursday","12/01/2011",3811,5676.5,1662,NA,11149.5
"Friday","12/02/2011",4596.5,6416,1709,NA,12721.5
"Saturday","12/03/2011",3778.5,4803,1164.5,NA,9746
"Sunday","12/04/2011",2691.5,3202,931.5,NA,6825
"Monday","12/05/2011",3692.5,5124.5,1552,NA,10369
"Tuesday","12/06/2011",3680.5,4879.5,1478,NA,10038
"Wednesday","12/07/2011",3337.5,4778.5,1477.5,NA,9593.5
"Thursday","12/08/2011",3585,5333.5,1411,NA,10329.5
"Friday","12/09/2011",4653.5,6297.5,1645,NA,12596
"Saturday","12/10/2011",3151.5,4542.5,1133.5,NA,8827.5
"Sunday","12/11/2011",2113,2591,797.5,NA,5501.5
"Monday","12/12/2011",4037.5,5104,1217.5,NA,10359
"Tuesday","12/13/2011",3917.5,4929.5,1586.5,NA,10433.5
"Wednesday","12/14/2011",3888.5,5098.5,1710,NA,10697
"Thursday","12/15/2011",3784,5217,1796.5,NA,10797.5
"Friday","12/16/2011",4473,6009.5,2079,NA,12561.5
"Saturday","12/17/2011",3051,4058,1291,NA,8400
"Sunday","12/18/2011",1926.5,2556.5,825.5,NA,5308.5
"Monday","12/19/2011",3872.5,5010,1766.5,NA,10649
"Tuesday","12/20/2011",4168.5,1664,4967,NA,10799.5
"Wednesday","12/21/2011",3894,4790.5,1711.5,NA,10396
"Thursday","12/22/2011",3941.5,4910.5,1580.5,NA,10432.5
"Friday","12/23/2011",4158,4447.5,1555,NA,10160.5
"Saturday","12/24/2011",1921.5,1934.5,705.5,NA,4561.5
"Sunday","12/25/2011",NA,NA,NA,NA,0
"Monday","12/26/2011",2712.5,2824.5,1152.5,NA,6689.5
"Tuesday","12/27/2011",3201.5,3456.5,1228.5,NA,7886.5
"Wednesday","12/28/2011",3924.5,4227.5,1652.5,NA,9804.5
"Thursday","12/29/2011",3717,4022.5,1484,NA,9223.5
"Friday","12/30/2011",4364,4614.5,1730.5,NA,10709
"Saturday","12/31/2011",3661,3826.5,1224,NA,8711.5
"Sunday","01/01/2012",1502.5,1712,725,NA,3939.5
"Monday","01/02/2012",3051.5,3032,1178.5,NA,7262
"Tuesday","01/03/2012",3397,4772.5,1596,NA,9765.5
"Wednesday","01/04/2012",3317.5,4543,1665,NA,9525.5
"Thursday","01/05/2012",3556.5,4766.5,1712.5,NA,10035.5
"Friday","01/06/2012",4548,5855,1938,NA,12341
"Saturday","01/07/2012",3140.5,4020.5,1293,NA,8454
"Sunday","01/08/2012",1936.5,2198.5,966.5,NA,5101.5
"Monday","01/09/2012",3837.5,4996.5,1780.5,NA,10614.5
"Tuesday","01/10/2012",3851,4965,1979,NA,10795
"Wednesday","01/11/2012",3969,4844,1930.5,NA,10743.5
"Thursday","01/12/2012",3818.5,4956.5,1994.5,NA,10769.5
"Friday","01/13/2012",4541,5166,2233.5,NA,11940.5
"Saturday","01/14/2012",3228.5,3817,1159.5,NA,8205
"Sunday","01/15/2012",2462,2846.5,1039,NA,6347.5
"Monday","01/16/2012",2922.5,3333.5,1260,NA,7516
"Tuesday","01/17/2012",3995,5101,1904.5,NA,11000.5
"Wednesday","01/18/2012",4232,5281.5,1930.5,NA,11444
"Thursday","01/19/2012",4351.5,5079.5,1996.5,NA,11427.5
"Friday","01/20/2012",4998.5,5910.5,2181,NA,13090
"Saturday","01/21/2012",2792,3569.5,1208,NA,7569.5
"Sunday","01/22/2012",1928.5,2418.5,961.5,NA,5308.5
"Monday","01/23/2012",3706.5,1773,1773,NA,7252.5
"Tuesday","01/24/2012",4453.5,5257,2138.5,NA,11849
"Wednesday","01/25/2012",4375.5,5596.5,2015.5,NA,11987.5
"Thursday","01/26/2012",4181,4986,1965,NA,11132
"Friday","01/27/2012",5167,5890,2186.5,NA,13243.5
"Saturday","01/28/2012",3960,5022,1515,NA,10497
"Sunday","01/29/2012",2525.5,2998.5,1192,NA,6716
"Monday","01/30/2012",4388.5,5288.5,1981,NA,11658
"Tuesday","01/31/2012",4565.5,5371,2040,NA,11976.5
"Wednesday","02/01/2012",4443.5,5583.5,2103.5,NA,12130.5
"Thursday","02/02/2012",4121,5306.5,1996.5,NA,11424
"Friday","02/03/2012",5027.5,6525.5,2200,NA,13753
"Saturday","02/04/2012",3305,4082.5,1278,NA,8665.5
"Sunday","02/05/2012",2185.5,2706.5,959,NA,5851
"Monday","02/06/2012",4197,4843,1860,NA,10900
"Tuesday","02/07/2012",4016.5,5286,2001.5,NA,11304
"Wednesday","02/08/2012",4185.5,5183.5,1980,NA,11349
"Thursday","02/09/2012",4361.5,5306.5,2029,NA,11697
"Friday","02/10/2012",5023.5,6591,2272.5,NA,13887
"Saturday","02/11/2012",3413.5,4570,1360,NA,9343.5
"Sunday","02/12/2012",2300.5,2593.5,1030.5,NA,5924.5
"Monday","02/13/2012",4085,5240,1989.5,NA,11314.5
"Tuesday","02/14/2012",4042.5,5039,1934.5,NA,11016
"Wednesday","02/15/2012",4233,5580.5,2047.5,NA,11861
"Thursday","02/16/2012",4094,4951,1777,NA,10822
"Friday","02/17/2012",4914.5,6368.5,2344.5,NA,13627.5
"Saturday","02/18/2012",3885.5,4573,1492,NA,9950.5
"Sunday","02/19/2012",2726.5,2523.5,1294,NA,6544
"Monday","02/20/2012",3748,4174.5,1837.5,NA,9760
"Tuesday","02/21/2012",4296,5400.5,1980.5,NA,11677
"Wednesday","02/22/2012",4291.5,5490,2150,NA,11931.5
"Thursday","02/23/2012",4139,5078.5,2019,NA,11236.5
"Friday","02/24/2012",4518,6216,2085.5,NA,12819.5
"Saturday","02/25/2012",3550,4713.5,1337,NA,9600.5
"Sunday","02/26/2012",2452.5,2990,1195,NA,6637.5
"Monday","02/27/2012",4166,5172.5,1902.5,NA,11241
"Tuesday","02/28/2012",4128.5,5219,1895,NA,11242.5
"Wednesday","02/29/2012",3449,4396.5,1812,NA,9657.5
"Thursday","03/01/2012",4322,5293,2170.5,NA,11785.5
"Friday","03/02/2012",4669,6001,2221,NA,12891
"Saturday","03/03/2012",3999,4336,1668.5,NA,10003.5
"Sunday","03/04/2012",2381.5,2522.5,1042,NA,5946
"Monday","03/05/2012",4197,5037,2070,NA,11304
"Tuesday","03/06/2012",4109,5140.5,2184,NA,11433.5
"Wednesday","03/07/2012",4270.5,5335,2199.5,NA,11805
"Thursday","03/08/2012",4223.5,5547.5,2134,NA,11905
"Friday","03/09/2012",4704,6061,2212.5,NA,12977.5
"Saturday","03/10/2012",3750.5,4484.5,1479,NA,9714
"Sunday","03/11/2012",1737,1859.5,937.5,NA,4534
"Monday","03/12/2012",3934,4819.5,1997.5,NA,10751
"Tuesday","03/13/2012",4335.5,5267.5,2094,NA,11697
"Wednesday","03/14/2012",4526.5,5445.5,2249.5,NA,12221.5
"Thursday","03/15/2012",4343.5,5540.5,2163,NA,12047
"Friday","03/16/2012",5116.5,6626,2312,NA,14054.5
"Saturday","03/17/2012",5208.5,5935.5,1904,NA,13048
"Sunday","03/18/2012",2194.5,2761,1101.5,NA,6057
"Monday","03/19/2012",4469.5,5348.5,2040,NA,11858
"Tuesday","03/20/2012",4407,5195.5,2064.5,NA,11667
"Wednesday","03/21/2012",4129,5557.5,2214.5,NA,11901
"Thursday","03/22/2012",4594,5627.5,2153.5,NA,12375
"Friday","03/23/2012",5505,7485,2531.5,NA,15521.5
"Saturday","03/24/2012",3330.5,3957.5,1384,NA,8672
"Sunday","03/25/2012",2511.5,2797.5,1199.5,NA,6508.5
"Monday","03/26/2012",4588.5,5343,2236,NA,12167.5
"Tuesday","03/27/2012",4228,5532,2125.5,NA,11885.5
"Wednesday","03/28/2012",4444.5,5407.5,2231,NA,12083
"Thursday","03/29/2012",4563,5366,2113,NA,12042
"Friday","03/30/2012",4915,6394,2362,NA,13671
"Saturday","03/31/2012",3740.5,4835.5,1519.5,NA,10095.5
"Sunday","04/01/2012",3019,3191,1208.5,NA,7418.5
"Monday","04/02/2012",4910,5218,2415.5,NA,12543.5
"Tuesday","04/03/2012",5047,5598.5,2382,NA,13027.5
"Wednesday","04/04/2012",4721.5,5636.5,2277,NA,12635
"Thursday","04/05/2012",4570.5,5299,2220.5,NA,12090
"Friday","04/06/2012",5540,5519,1961,NA,13020
"Saturday","04/07/2012",4274.5,4246.5,1656,NA,10177
"Sunday","04/08/2012",2904.5,3006.5,1241.5,NA,7152.5
"Monday","04/09/2012",5121,5364.5,2379,NA,12864.5
"Tuesday","04/10/2012",4838,5315.5,2147,NA,12300.5
"Wednesday","04/11/2012",4752.5,5843,2253,NA,12848.5
"Thursday","04/12/2012",4518.5,5689,2151,NA,12358.5
"Friday","04/13/2012",5300,6666.5,2365,NA,14331.5
"Saturday","04/14/2012",4217.5,4984,2005,NA,11206.5
"Sunday","04/15/2012",2680,3547,1384,NA,7611
"Monday","04/16/2012",4794,5764.5,2296,NA,12854.5
"Tuesday","04/17/2012",4747,5559,2247.5,NA,12553.5
"Wednesday","04/18/2012",4462.5,5426.5,2180.5,NA,12069.5
"Thursday","04/19/2012",4356,5689.5,2209.5,NA,12255
"Friday","04/20/2012",5514,6309,2526.5,NA,14349.5
"Saturday","04/21/2012",4282.5,4819.5,1844,NA,10946
"Sunday","04/22/2012",1842.5,2166.5,835,NA,4844
"Monday","04/23/2012",4458,5198.5,2149,NA,11805.5
"Tuesday","04/24/2012",4466.5,5539.5,2113,NA,12119
"Wednesday","04/25/2012",4704,5864.5,2355,NA,12923.5
"Thursday","04/26/2012",4401.5,5695,2283.5,NA,12380
"Friday","04/27/2012",5623,6513.5,2647.5,NA,14784
"Saturday","04/28/2012",3555,4454.5,1491,NA,9500.5
"Sunday","04/29/2012",2833.5,3394,1444.5,NA,7672
"Monday","04/30/2012",4303.5,5433,2189,NA,11925.5
"Tuesday","05/01/2012",4775,5737,2340.5,NA,12852.5
"Wednesday","05/02/2012",4480,5469.5,2360,NA,12309.5
"Thursday","05/03/2012",4599,5011,2152.5,NA,11762.5
"Friday","05/04/2012",5241,6438.5,2492.5,NA,14172
"Saturday","05/05/2012",4241,5579,1549.5,NA,11369.5
"Sunday","05/06/2012",2808.5,3117,1246,NA,7171.5
"Monday","05/07/2012",4633.5,5477,2305,NA,12415.5
"Tuesday","05/08/2012",4600,5300,2331.5,NA,12231.5
"Wednesday","05/09/2012",4732,5708,2160,NA,12600
"Thursday","05/10/2012",4861.5,5591.5,2243.5,NA,12696.5
"Friday","05/11/2012",5418,6854.5,2576.5,NA,14849
"Saturday","05/12/2012",4355.5,4747,1919.5,NA,11022
"Sunday","05/13/2012",2616.5,2980.5,1311,NA,6908
"Monday","05/14/2012",4308.5,5423.5,2110.5,NA,11842.5
"Tuesday","05/15/2012",4758,5948,2199,NA,12905
"Wednesday","05/16/2012",4716.5,6152,2340.5,NA,13209
"Thursday","05/17/2012",4772.5,5433.5,2323.5,NA,12529.5
"Friday","05/18/2012",5145,6609.5,2757.5,NA,14512
"Saturday","05/19/2012",4127,4992,1986,NA,11105
"Sunday","05/20/2012",2908,3524.5,1536.5,NA,7969
"Monday","05/21/2012",4379.5,5671,2206.5,NA,12257
"Tuesday","05/22/2012",5273,6488.5,2523.5,NA,14285
"Wednesday","05/23/2012",5026,6188,2434,NA,13648
"Thursday","05/24/2012",4843,6341,2625.5,NA,13809.5
"Friday","05/25/2012",5984.5,7422,2743,NA,16149.5
"Saturday","05/26/2012",3654.5,4830.5,1894.5,NA,10379.5
"Sunday","05/27/2012",3698.5,3929,1505.5,NA,9133
"Monday","05/28/2012",3186,3572,1916.5,NA,8674.5
"Tuesday","05/29/2012",4574,5735,2463,NA,12772
"Wednesday","05/30/2012",4805.5,6003,2359.5,NA,13168
"Thursday","05/31/2012",4808.5,5939,2538,NA,13285.5
"Friday","06/01/2012",4796,6082.5,2383.5,NA,13262
"Saturday","06/02/2012",4458,5055.5,2025.5,NA,11539
"Sunday","06/03/2012",2616.5,3571,1366,NA,7553.5
"Monday","06/04/2012",4799.5,5603,2425.5,514.5,13342.5
"Tuesday","06/05/2012",4762,5840.5,2449.5,573.5,13625.5
"Wednesday","06/06/2012",4872,5507.5,2525,627.5,13532
"Thursday","06/07/2012",3476,4600,2307.5,661.5,11045
"Friday","06/08/2012",5782.5,6881.5,2858,844.5,16366.5
"Saturday","06/09/2012",4820.5,5045,2045.5,986.5,12897.5
"Sunday","06/10/2012",3061.5,3439.5,1499.5,691,8691.5
"Monday","06/11/2012",4583.5,5212.5,2106.5,629.5,12532
"Tuesday","06/12/2012",3878.5,4729,3878.5,525,13011
"Wednesday","06/13/2012",5023,5845.5,2804.5,1999.5,15672.5
"Thursday","06/14/2012",5617.5,6521,2769.5,2672,17580
"Friday","06/15/2012",6926.5,8089.5,3485,3450,21951
"Saturday","06/16/2012",6322,7797,3338.5,4617,22074.5
"Sunday","06/17/2012",4008,4903,2268,4045.5,15224.5
"Monday","06/18/2012",4853,5460,2334.5,1320,13967.5
"Tuesday","06/19/2012",5039,5797,2547,1392.5,14775.5
"Wednesday","06/20/2012",4475,5391.5,2314,732.5,12913
"Thursday","06/21/2012",4369,5399,2294.5,580.5,12643
"Friday","06/22/2012",6000,6104.5,2568,922,15594.5
"Saturday","06/23/2012",4441.5,5081.5,1942,1023,12488
"Sunday","06/24/2012",2805,3530.5,1531,749,8615.5
"Monday","06/25/2012",4705.5,5567.5,2512.5,790.5,13576
"Tuesday","06/26/2012",4753,5943,2481,913,14090
"Wednesday","06/27/2012",5052.5,5728.5,2707,873.5,14361.5
"Thursday","06/28/2012",4883,5847,2387.5,777.5,13895
"Friday","06/29/2012",5922,6451.5,2343.5,982.5,15699.5
"Saturday","06/30/2012",4260,4559,1607.5,885.5,11312
"Sunday","07/01/2012",2807.5,2954.5,1397.5,602.5,7762
"Monday","07/02/2012",5088,5596,2497.5,800.5,13982
"Tuesday","07/03/2012",5550,5689.5,2579.5,897,14716
