func,package,description
qplot,ggplot2,"\code{qplot} is a shortcut designed to be familiar if you're used to base \code{\LinkA{plot}{plot}()}. It's a convenient wrapper for creating a number of different types of plots using a consistent calling scheme. It's great for allowing you to produce plots quickly, but I highly recommend learning \code{\LinkA{ggplot}{ggplot}()} as it makes it easier to create complex graphics."
scale_color_manual,ggplot2,This allows you to specify you own set of mappings from levels in the data to aesthetic values.
scale_colour_manual,ggplot2,This allows you to specify you own set of mappings from levels in the data to aesthetic values.
scale_fill_brewer,ggplot2,"The \code{brewer} scales provides sequential, diverging and qualitative colour schemes from ColorBrewer. These are particularly well suited to display discrete values on a map. See \url{http://colorbrewer2.org} for more information."
scale_fill_gradient,ggplot2,"\code{scale\_*\_gradient} creates a two colour gradient (low-high), \code{scale\_*\_gradient2} creates a diverging colour gradient (low-mid-high), \code{scale\_*\_gradientn} creats a n-colour gradient."
scale_linetype_manual,ggplot2,This allows you to specify you own set of mappings from levels in the data to aesthetic values.
theme,ggplot2,"Use \code{theme()} to modify individual components of a theme, allowing you to control the appearance of all non-data components of the plot. \code{theme()} only affects a single plot: see \code{\LinkA{theme\_update}{theme.Rul.update}} if you want modify the active theme, to affect all subsequent plots."
theme_bw,ggplot2,These are complete themes which control all non-data display. Use \code{\LinkA{theme}{theme}} if you just need to tweak the display of an existing theme.
xlab,ggplot2,Good labels are critical for making your plots accessible to a wider audience. Ensure the axis and legend labels display the full variable name. Use the plot \code{title} and \code{subtitle} to explain the main findings. It's common to use the \code{caption} to provide information about the data source.
xlim,ggplot2,"This is a shortcut for supplying the \code{limits} argument to the individual scales. Note that, by default, any values outside the limits will be replaced with \code{NA}."
ylab,ggplot2,Good labels are critical for making your plots accessible to a wider audience. Ensure the axis and legend labels display the full variable name. Use the plot \code{title} and \code{subtitle} to explain the main findings. It's common to use the \code{caption} to provide information about the data source.
abline,graphics,This function adds one or more straight lines through the current plot.
barplot,graphics,Creates a bar plot with vertical or horizontal bars.
boxplot,graphics,Produce box-and-whisker plot(s) of the given (grouped) values.
hist,graphics,"The generic function \code{hist} computes a histogram of the given data values.  If \code{plot = TRUE}, the resulting object of \LinkA{class}{class} \code{""histogram""} is plotted by \code{\LinkA{plot.histogram}{plot.histogram}}, before it is returned."
legend,graphics,This function can be used to add legends to plots.  Note that a call to the function \code{\LinkA{locator}{locator}(1)} can be used in place of the \code{x} and \code{y} arguments.
lines,graphics,A generic function taking coordinates given in various ways and joining the corresponding points with line segments.
pairs,graphics,A matrix of scatterplots is produced.
par,graphics,"\code{par} can be used to set or query graphical parameters. Parameters can be set by specifying them as arguments to \code{par} in \code{tag = value} form, or by passing them as a list of tagged values."
plot,graphics,"Generic function for plotting of \R{} objects.  For more details about the graphical parameter arguments, see \code{\LinkA{par}{par}}.  For simple scatter plots, \code{\LinkA{plot.default}{plot.default}} will be used. However, there are \code{plot} methods for many \R{} objects, including \code{\LinkA{function}{function}}s, \code{\LinkA{data.frame}{data.frame}}s, \code{\LinkA{density}{density}} objects, etc.  Use \code{methods(plot)} and the documentation for these."
points,graphics,"\code{points} is a generic function to draw a sequence of points at the specified coordinates.  The specified character(s) are plotted, centered at the coordinates."
smoothScatter,graphics,"\code{smoothScatter} produces a smoothed color density representation of a scatterplot, obtained through a (2D) kernel density estimate."
text,graphics,"\code{text} draws the strings given in the vector \code{labels} at the coordinates given by \code{x} and \code{y}. \code{y} may be missing since \code{\LinkA{xy.coords}{xy.coords}(x, y)} is used for construction of the coordinates."
dev.off,grDevices,These functions provide control over multiple graphics devices.
gray,grDevices,Create a vector of colors from a vector of gray levels.
palette,grDevices,View or manipulate the color palette which is used when a \code{col=} has a numeric index.
png,grDevices,"Graphics devices for BMP, JPEG, PNG and TIFF format bitmap files."
gpar,grid,"\code{gpar()} should be used to create a set of graphical parameter settings.  It returns an object of class \code{""gpar""}.  This is basically a list of name-value pairs.  \code{get.gpar()} can be used to query the current graphical parameter settings."
grid.circle,grid,Functions to create and draw a circle.
grid.newpage,grid,This function erases the current device or moves to a new page.
grid.polygon,grid,These functions create and draw a polygon. The final point will automatically be connected to the initial point.
grid.polyline,grid,These functions create and draw a series of lines.
grid.rect,grid,These functions create and draw rectangles.
pushViewport,grid,Grid maintains a tree of viewports --- nested drawing contexts.  These functions provide ways to add or remove viewports and to navigate amongst viewports in the tree.
viewport,grid,"These functions create viewports, which describe rectangular regions on a graphics device and define a number of coordinate systems within those regions."
include_graphics,knitr,"When plots are not generated from R code, there is no way for \pkg{knitr} to capture plots automatically. In this case, you may generate the images manually and pass their file paths to this function to include them in the output. The major advantage of using this function is that it is portable in the sense that it works for all document formats that \pkg{knitr} supports, so you do not need to think if you have to use, for example, LaTeX or Markdown syntax, to embed an external image. Chunk options related to graphics output that work for normal R plots also work for these images, such as \code{out.width} and \code{out.height}."
purl,knitr,"This function takes an input file, extracts the R code in it according to a list of patterns, evaluates the code and writes the output in another file. It can also tangle R source code from the input document (\code{purl()} is a wrapper to \code{knit(..., tangle = TRUE)}). The \code{knitr.purl.inline} option can be used to also tangle the code of inline expressions (disabled by default)."
as.period,lubridate,"as.period changes Interval, Duration, difftime and numeric class objects to Period class objects with the specified units."
mdy,lubridate,"Transforms dates stored in character and numeric vectors to Date or POSIXct objects (see \code{tz} argument). These functions recognize arbitrary non-digit separators as well as no separator. As long as the order of formats is correct, these functions will parse dates correctly even when the input vectors contain differently formatted dates. See examples."
select,MASS,Fit a linear model by ridge regression.
rowMins,matrixStats,Gets the range of values in each row (column) of a matrix.
merge,memisc,
mtable,memisc,\code{mtable} produces a table of estimates for several models. 
print,memisc,
rename,memisc,\code{rename} changes the names of a named object.
sample,memisc,
summary,memisc,
unique,memisc,
write.mtable,memisc,\code{mtable} produces a table of estimates for several models. 
top,NCmisc,"This function runs the unix 'top' command and returns the overall CPU and RAM usage, and optionally the table of processes and resource use for each. Works only with unix-based systems such as Mac OS X and Linux, where 'top' is installed. Default is to return CPU and RAM overall stats, to get detailed stats instead, set Table=TRUE."
pander,pander,Prints an R object in Pandoc's markdown.
arrange,plyr,"This function completes the subsetting, transforming and ordering triad with a function that works in a similar way to \code{\LinkA{subset}{subset}} and \code{\LinkA{transform}{transform}} but for reordering a data frame by its columns. This saves a lot of typing!"
desc,plyr,Transform a vector into a format that will be sorted in descending order.
l_ply,plyr,"For each element of a list, apply function and discard results"
mutate,plyr,"This function is very similar to \code{\LinkA{transform}{transform}} but it executes the transformations iteratively so that later transformations can use the columns created by earlier transformations.  Like transform, unnamed components are silently dropped."
rename,plyr,"Modify names by name, not position."
revalue,plyr,"If \code{x} is a factor, the named levels of the factor will be replaced with the new values."
summarise,plyr,"Summarise works in an analogous way to \code{\LinkA{mutate}{mutate}}, except instead of adding columns to an existing data frame, it creates a new data frame.  This is particularly useful in conjunction with \code{\LinkA{ddply}{ddply}} as it makes it easy to perform group-wise summaries."
summarize,plyr,"Summarise works in an analogous way to \code{\LinkA{mutate}{mutate}}, except instead of adding columns to an existing data frame, it creates a new data frame.  This is particularly useful in conjunction with \code{\LinkA{ddply}{ddply}} as it makes it easy to perform group-wise summaries."
alpha,psych,"Internal consistency measures of reliability range from \eqn{\omega_h}{} to \eqn{\alpha}{} to \eqn{\omega_t}{}.  This function reports two estimates: Cronbach's coefficient \eqn{\alpha}{} and Guttman's \eqn{\lambda_6}{}.  Also reported are item - whole correlations, \eqn{\alpha}{} if an item is omitted, and item means and standard deviations."
corr.test,psych,"Although the cor function finds the correlations for a matrix, it does not report probability values. corr.test uses cor to find the correlations for either complete or pairwise data and reports the sample sizes and probability values as well. For symmetric matrices, raw probabilites are reported below the diagonal and correlations adjusted for multiple comparisons above the diagonal. In the case of different x and ys, the default is to adjust the probabilities for multiple tests.  "
brewer.pal,RColorBrewer,Creates nice looking color palettes especially for thematic maps
read_csv,readr,"\code{read\_csv()} and \code{read\_tsv()} are special cases of the general \code{read\_delim()}. They're useful for reading the most common types of flat file data, comma separated values and tab separated values, respectively. \code{read\_csv2()} uses \code{;} for separators, instead of \code{,}. This is common in European countries which use \code{,} as the decimal separator."
read_tsv,readr,"\code{read\_csv()} and \code{read\_tsv()} are special cases of the general \code{read\_delim()}. They're useful for reading the most common types of flat file data, comma separated values and tab separated values, respectively. \code{read\_csv2()} uses \code{;} for separators, instead of \code{,}. This is common in European countries which use \code{,} as the decimal separator."
write_csv,readr,"This is about twice as fast as \code{\LinkA{write.csv()}{write.csv}}, and never writes row names. \code{output\_column()} is a generic method used to coerce columns to suitable output."
read_excel,readxl,"Read xls and xlsx files.  While \code{read\_excel()} auto detects the format from the file extension, \code{read\_xls()} and \code{read\_xlsx()} can be used to read files without extension."
melt,reshape,Melt an object into a form suitable for easy casting.
rename,reshape,Rename an object
duplicated,rJava,
head,rJava,
rev,rJava,
sort,rJava,
str,rJava,
tail,rJava,
unique,rJava,
render,rmarkdown,Render the input file to the specified output format using pandoc. If the input requires knitting then \code{\LinkA{knit}{knit}} is called prior to pandoc.
stargazer,stargazer,"  The \code{stargazer} command produces LaTeX code, HTML code and ASCII text for well-formatted tables that hold regression analysis results from several models side-by-side. It can also output summary statistics and data frame content. \code{stargazer} supports a large number model objects from a variety of packages. Please see \LinkA{stargazer models}{stargazer models}."
anova,stats,Compute analysis of variance (or deviance) tables for one or more fitted model objects.
binomial,stats,Family objects provide a convenient way to specify the details of the models used by functions such as \code{\LinkA{glm}{glm}}.  See the documentation for \code{\LinkA{glm}{glm}} for the details on how such model fitting takes place.
chisq.test,stats,\code{chisq.test} performs chi-squared contingency table tests and goodness-of-fit tests.
coef,stats,\code{coef} is a generic function which extracts model coefficients from objects returned by modeling functions.  \code{coefficients} is an \emph{alias} for it.
confint,stats,"Computes confidence intervals for one or more parameters in a fitted model.  There is a default and a method for objects inheriting from class \code{""\LinkA{lm}{lm}""}."
cor,stats,"\code{var}, \code{cov} and \code{cor} compute the variance of \code{x} and the covariance or correlation of \code{x} and \code{y} if these are vectors.   If \code{x} and \code{y} are matrices then the covariances (or correlations) between the columns of \code{x} and the columns of \code{y} are computed.  \code{cov2cor} scales a covariance matrix into the corresponding correlation matrix \emph{efficiently}."
cor.test,stats,"Test for association between paired samples, using one of Pearson's product moment correlation coefficient, Kendall's \eqn{\tau}{} or Spearman's \eqn{\rho}{}."
density,stats,The (S3) generic function \code{density} computes kernel density estimates.  Its default method does so with the given kernel and bandwidth for univariate observations.
embed,stats,Embeds the time series \code{x} into a low-dimensional Euclidean space.
filter,stats,Applies linear filtering to a univariate time series or to each series separately of a multivariate time series.
fisher.test,stats,Performs Fisher's exact test for testing the null of independence of rows and columns in a contingency table with fixed marginals.
glm,stats,"\code{glm} is used to fit generalized linear models, specified by giving a symbolic description of the linear predictor and a description of the error distribution."
lm,stats,"\code{lm} is used to fit linear models. It can be used to carry out regression, single stratum analysis of variance and analysis of covariance (although \code{\LinkA{aov}{aov}} may provide a more convenient interface for these)."
median,stats,Compute the sample median.
prop.test,stats,"\code{prop.test} can be used for testing the null that the proportions (probabilities of success) in several groups are the same, or that they equal certain given values."
quantile,stats,The generic function \code{quantile} produces sample quantiles corresponding to the given probabilities. The smallest observation corresponds to a probability of 0 and the largest to a probability of 1.
rnorm,stats,"Density, distribution function, quantile function and random generation for the normal distribution with mean equal to \code{mean} and standard deviation equal to \code{sd}."
scatter.smooth,stats,Plot and add a smooth curve computed by \code{loess} to a scatter plot.
sd,stats,This function computes the standard deviation of the values in \code{x}. If \code{na.rm} is \code{TRUE} then missing values are removed before computation proceeds.
t.test,stats,Performs one and two sample t-tests on vectors of data.
var,stats,"\code{var}, \code{cov} and \code{cor} compute the variance of \code{x} and the covariance or correlation of \code{x} and \code{y} if these are vectors.   If \code{x} and \code{y} are matrices then the covariances (or correlations) between the columns of \code{x} and the columns of \code{y} are computed.  \code{cov2cor} scales a covariance matrix into the corresponding correlation matrix \emph{efficiently}."
wilcox.test,stats,Performs one- and two-sample Wilcoxon tests on vectors of data; the latter is also known as `Mann-Whitney' test.
fixed,stringr,"\begin{description}  \item[fixed] Compare literal bytes in the string. This is very fast, but not usually what you want for non-ASCII character sets. \item[coll] Compare strings respecting standard collation rules. \item[regex] The default. Uses ICU regular expressions. \item[boundary] Match boundaries between things.  \end{description} "
str_detect,stringr,Vectorised over \code{string} and \code{pattern}.
str_extract,stringr,Vectorised over \code{string} and \code{pattern}.
str_extract_all,stringr,Vectorised over \code{string} and \code{pattern}.
str_replace,stringr,"Vectorised over \code{string}, \code{pattern} and \code{replacement}."
str_split,stringr,Vectorised over \code{string} and \code{pattern}.
str_subset,stringr,"\code{str\_subset()} is a wrapper around \code{x[str\_detect(x, pattern)]}, and is equivalent to \code{grep(pattern, x, value = TRUE)}. \code{str\_which()} is a wrapper around \code{which(str\_detect(x, pattern))}, and is equivalent to \code{grep(pattern, x)}."
str_trim,stringr,Trim whitespace from start and end of string.
pivot_longer,tidyr,"Pivot_longer takes multiple columns and collapses into key-value pairs, duplicating all other columns as needed. You use \code{pivot_longer()} when you notice that you have columns that are not variables."
separate,tidyr,"Given either regular expression or a vector of character positions, \code{separate()} turns a single character column into multiple columns."
pivot_wider,tidyr,Pivot a key-value pair across multiple columns.
unite,tidyr,Convenience function to paste together multiple columns into one.
data,utils,"Loads specified data sets, or list the available data sets."
download.file,utils,This function can be used to download a file from the Internet.
head,utils,"Returns the first or last parts of a vector, matrix, table, data frame or function.  Since \code{head()} and \code{tail()} are generic functions, they may also have been extended to other classes."
read.csv,utils,"Reads a file in table format and creates a data frame from it, with cases corresponding to lines and variables to fields in the file."
str,utils,"Compactly display the internal \bold{str}ucture of an \R{} object, a diagnostic function and an alternative to \code{\LinkA{summary}{summary}} (and to some extent, \code{\LinkA{dput}{dput}}).  Ideally, only one line for each `basic' structure is displayed.  It is especially well suited to compactly display the (abbreviated) contents of (possibly nested) lists.  The idea is to give reasonable output for \bold{any} \R{} object.  It calls \code{\LinkA{args}{args}} for (non-primitive) function objects.  \code{strOptions()} is a convenience function for setting \code{\LinkA{options}{options}(str = .)}, see the examples."
tail,utils,"Returns the first or last parts of a vector, matrix, table, data frame or function.  Since \code{head()} and \code{tail()} are generic functions, they may also have been extended to other classes."
write.csv,utils,\code{write.table} prints its required argument \code{x} (after converting it to a data frame if it is not one nor a matrix) to a file or \LinkA{connection}{connection}.
write.xlsx,xlsx,Write a \code{data.frame} to an Excel workbook.
